0.99025     0.290481    1.16175e-05     0.0376253     1.41917e-05
1.18375     0.29552    1.13708e-05     0.0358422     1.3349e-05
1.37725     0.300771    1.08027e-05     0.0333652     1.19206e-05
1.57075     0.304904    1.04305e-05     0.0314931     1.09431e-05
1.76425     0.308548    1.04474e-05     0.0303532     1.06214e-05
1.95775     0.311745    1.05999e-05     0.02945     1.05551e-05
2.15125     0.314913    1.0795e-05     0.0286554     1.05612e-05
2.34475     0.317585    1.11594e-05     0.027995     1.07755e-05
2.53825     0.32026    1.15303e-05     0.0273902     1.09845e-05
2.73175     0.322497    1.21294e-05     0.0269258     1.1531e-05
2.92525     0.324747    1.27743e-05     0.0264315     1.19933e-05
3.11875     0.326702    1.36381e-05     0.0259455     1.27904e-05
3.31225     0.328809    1.46491e-05     0.0253097     1.34918e-05
3.50575     0.330543    1.59669e-05     0.0246952     1.45852e-05
3.69925     0.332188    1.78129e-05     0.0241273     1.62279e-05
3.89275     0.333945    2.02573e-05     0.0234592     1.79309e-05
